[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x0c4314fffef7fae6): default expiration timeout set to 0
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x7cb03eaa0a0b0dc0): default expiration timeout set to 0
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x001788010916738d): default expiration timeout set to 0
[2026-03-12 12:53:59] debug: 	zhc: Getting definitions for: lumi.js,54
[2026-03-12 12:53:59] debug: 	zhc: Getting definitions for: lumi.js,54
[2026-03-12 12:53:59] debug: 	zhc: Getting definitions for: lumi.js,54
[2026-03-12 12:53:59] debug: 	zhc: Getting definitions for: tuya.js,274,tuya.js,273,tuya.js,271,tuya.js,130,tuya.js,129,moes.js,28,lidl.js,2,immax.js,20
[2026-03-12 12:54:00] debug: 	zhc: Candidates for 0x2c1165fffe38f2c8/TS004F: ZG-101Z/D/Tuya,ERS-10TZBVK-AA/Tuya,YSR-MINI-Z/Tuya,TS004F_6_button/Tuya,TS004F/Tuya,ERS-10TZBVB-AA/Moes,HG08164/Lidl,07767L/Immax
[2026-03-12 12:54:00] debug: 	zhc: Getting definitions for: tuya.js,274,tuya.js,273,tuya.js,271,tuya.js,130,tuya.js,129,moes.js,28,lidl.js,2,immax.js,20
[2026-03-12 12:54:00] debug: 	zhc: Candidates for 0x2c1165fffe2d42b7/TS004F: ZG-101Z/D/Tuya,ERS-10TZBVK-AA/Tuya,YSR-MINI-Z/Tuya,TS004F_6_button/Tuya,TS004F/Tuya,ERS-10TZBVB-AA/Moes,HG08164/Lidl,07767L/Immax
[2026-03-12 12:54:00] debug: 	zhc: Getting definitions for: innr.js,70
[2026-03-12 12:54:00] debug: 	zhc: Getting definitions for: innr.js,70
[2026-03-12 12:54:00] debug: 	zhc: Getting definitions for: osram.js,22
[2026-03-12 12:54:01] debug: 	zhc: Getting definitions for: philips.js,364
